PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_cat
161,0,3,male,44,0,1,16.1,S,4
162,1,2,female,40,0,0,15.75,S,3
163,0,3,male,26,0,0,7.775,S,3
164,0,3,male,17,0,0,8.6625,S,2
165,0,3,male,1,4,1,39.6875,S,1
166,1,3,male,9,0,2,20.525,S,1
168,0,3,female,45,1,4,27.9,S,4
170,0,3,male,28,0,0,56.4958,S,3
171,0,1,male,61,0,0,33.5,S,4
172,0,3,male,4,4,1,29.125,Q,1
173,1,3,female,1,1,1,11.1333,S,1
174,0,3,male,21,0,0,7.925,S,2
175,0,1,male,56,0,0,30.6958,C,4
176,0,3,male,18,1,1,7.8542,S,2
178,0,1,female,50,0,0,28.7125,C,4
179,0,2,male,30,0,0,13,S,3
180,0,3,male,36,0,0,0,S,3
183,0,3,male,9,4,2,31.3875,S,1
184,1,2,male,1,2,1,39,S,1
185,1,3,female,4,0,2,22.025,S,1
188,1,1,male,45,0,0,26.55,S,4
189,0,3,male,40,1,1,15.5,Q,3
190,0,3,male,36,0,0,7.8958,S,3
191,1,2,female,32,0,0,13,S,3
192,0,2,male,19,0,0,13,S,2
193,1,3,female,19,1,0,7.8542,S,2
194,1,2,male,3,1,1,26,S,1
195,1,1,female,44,0,0,27.7208,C,4
196,1,1,female,58,0,0,146.5208,C,4
198,0,3,male,42,0,1,8.4042,S,4
200,0,2,female,24,0,0,13,S,2
201,0,3,male,28,0,0,9.5,S,3
203,0,3,male,34,0,0,6.4958,S,3
204,0,3,male,45.5,0,0,7.225,C,4
205,1,3,male,18,0,0,8.05,S,2
206,0,3,female,2,0,1,10.4625,S,1
207,0,3,male,32,1,0,15.85,S,3
208,1,3,male,26,0,0,18.7875,C,3
209,1,3,female,16,0,0,7.75,Q,2
210,1,1,male,40,0,0,31,C,3
211,0,3,male,24,0,0,7.05,S,2
212,1,2,female,35,0,0,21,S,3
213,0,3,male,22,0,0,7.25,S,2
214,0,2,male,30,0,0,13,S,3
216,1,1,female,31,1,0,113.275,C,3
217,1,3,female,27,0,0,7.925,S,3
218,0,2,male,42,1,0,27,S,4
219,1,1,female,32,0,0,76.2917,C,3
220,0,2,male,30,0,0,10.5,S,3
221,1,3,male,16,0,0,8.05,S,2
222,0,2,male,27,0,0,13,S,3
223,0,3,male,51,0,0,8.05,S,4
225,1,1,male,38,1,0,90,S,3
226,0,3,male,22,0,0,9.35,S,2
227,1,2,male,19,0,0,10.5,S,2
228,0,3,male,20.5,0,0,7.25,S,2
229,0,2,male,18,0,0,13,S,2
231,1,1,female,35,1,0,83.475,S,3
232,0,3,male,29,0,0,7.775,S,3
233,0,2,male,59,0,0,13.5,S,4
234,1,3,female,5,4,2,31.3875,S,1
235,0,2,male,24,0,0,10.5,S,2
237,0,2,male,44,1,0,26,S,4
238,1,2,female,8,0,2,26.25,S,1
239,0,2,male,19,0,0,10.5,S,2
240,0,2,male,33,0,0,12.275,S,3
243,0,2,male,29,0,0,10.5,S,3
244,0,3,male,22,0,0,7.125,S,2
245,0,3,male,30,0,0,7.225,C,3
246,0,1,male,44,2,0,90,Q,4
247,0,3,female,25,0,0,7.775,S,2
248,1,2,female,24,0,2,14.5,S,2
249,1,1,male,37,1,1,52.5542,S,3
250,0,2,male,54,1,0,26,S,4
252,0,3,female,29,1,1,10.4625,S,3
253,0,1,male,62,0,0,26.55,S,4
254,0,3,male,30,1,0,16.1,S,3
255,0,3,female,41,0,2,20.2125,S,4
256,1,3,female,29,0,2,15.2458,C,3
258,1,1,female,30,0,0,86.5,S,3
259,1,1,female,35,0,0,512.3292,C,3
260,1,2,female,50,0,1,26,S,4
262,1,3,male,3,4,2,31.3875,S,1
263,0,1,male,52,1,1,79.65,S,4
264,0,1,male,40,0,0,0,S,3
266,0,2,male,36,0,0,10.5,S,3
267,0,3,male,16,4,1,39.6875,S,2
268,1,3,male,25,1,0,7.775,S,2
269,1,1,female,58,0,1,153.4625,S,4
270,1,1,female,35,0,0,135.6333,S,3
272,1,3,male,25,0,0,0,S,2
273,1,2,female,41,0,1,19.5,S,4
274,0,1,male,37,0,1,29.7,C,3
276,1,1,female,63,1,0,77.9583,S,4
277,0,3,female,45,0,0,7.75,S,4
279,0,3,male,7,4,1,29.125,Q,1
280,1,3,female,35,1,1,20.25,S,3
281,0,3,male,65,0,0,7.75,Q,4
282,0,3,male,28,0,0,7.8542,S,3
283,0,3,male,16,0,0,9.5,S,2
284,1,3,male,19,0,0,8.05,S,2
286,0,3,male,33,0,0,8.6625,C,3
287,1,3,male,30,0,0,9.5,S,3
288,0,3,male,22,0,0,7.8958,S,2
289,1,2,male,42,0,0,13,S,4
290,1,3,female,22,0,0,7.75,Q,2
291,1,1,female,26,0,0,78.85,S,3
292,1,1,female,19,1,0,91.0792,C,2
293,0,2,male,36,0,0,12.875,C,3
294,0,3,female,24,0,0,8.85,S,2
295,0,3,male,24,0,0,7.8958,S,2
297,0,3,male,23.5,0,0,7.2292,C,2
298,0,1,female,2,1,2,151.55,S,1
300,1,1,female,50,0,1,247.5208,C,4
303,0,3,male,19,0,0,0,S,2
306,1,1,male,0.92,1,2,151.55,S,1
308,1,1,female,17,1,0,108.9,C,2
309,0,2,male,30,1,0,24,C,3
310,1,1,female,30,0,0,56.9292,C,3
311,1,1,female,24,0,0,83.1583,C,2
312,1,1,female,18,2,2,262.375,C,2
313,0,2,female,26,1,1,26,S,3
314,0,3,male,28,0,0,7.8958,S,3
315,0,2,male,43,1,1,26.25,S,4
316,1,3,female,26,0,0,7.8542,S,3
317,1,2,female,24,1,0,26,S,2
318,0,2,male,54,0,0,14,S,4
319,1,1,female,31,0,2,164.8667,S,3
320,1,1,female,40,1,1,134.5,C,3
321,0,3,male,22,0,0,7.25,S,2
322,0,3,male,27,0,0,7.8958,S,3
323,1,2,female,30,0,0,12.35,Q,3
324,1,2,female,22,1,1,29,S,2
326,1,1,female,36,0,0,135.6333,C,3
327,0,3,male,61,0,0,6.2375,S,4
328,1,2,female,36,0,0,13,S,3
329,1,3,female,31,1,1,20.525,S,3
330,1,1,female,16,0,1,57.9792,C,2
332,0,1,male,45.5,0,0,28.5,S,4
333,0,1,male,38,0,1,153.4625,S,3
334,0,3,male,16,2,0,18,S,2
337,0,1,male,29,1,0,66.6,S,3
338,1,1,female,41,0,0,134.5,C,4
339,1,3,male,45,0,0,8.05,S,4
340,0,1,male,45,0,0,35.5,S,4
341,1,2,male,2,1,1,26,S,1
342,1,1,female,24,3,2,263,S,2
343,0,2,male,28,0,0,13,S,3
344,0,2,male,25,0,0,13,S,2
345,0,2,male,36,0,0,13,S,3
346,1,2,female,24,0,0,13,S,2
347,1,2,female,40,0,0,13,S,3
349,1,3,male,3,1,1,15.9,S,1
350,0,3,male,42,0,0,8.6625,S,4
351,0,3,male,23,0,0,9.225,S,2
353,0,3,male,15,1,1,7.2292,C,1
354,0,3,male,25,1,0,17.8,S,2
356,0,3,male,28,0,0,9.5,S,3
357,1,1,female,22,0,1,55,S,2
358,0,2,female,38,0,0,13,S,3
361,0,3,male,40,1,4,27.9,S,3
362,0,2,male,29,1,0,27.7208,C,3
363,0,3,female,45,0,1,14.4542,C,4
364,0,3,male,35,0,0,7.05,S,3
366,0,3,male,30,0,0,7.25,S,3
367,1,1,female,60,1,0,75.25,C,4
370,1,1,female,24,0,0,69.3,C,2
371,1,1,male,25,1,0,55.4417,C,2
372,0,3,male,18,1,0,6.4958,S,2
373,0,3,male,19,0,0,8.05,S,2
374,0,1,male,22,0,0,135.6333,C,2
375,0,3,female,3,3,1,21.075,S,1
377,1,3,female,22,0,0,7.25,S,2
378,0,1,male,27,0,2,211.5,C,3
379,0,3,male,20,0,0,4.0125,C,2
380,0,3,male,19,0,0,7.775,S,2
381,1,1,female,42,0,0,227.525,C,4
382,1,3,female,1,0,2,15.7417,C,1
383,0,3,male,32,0,0,7.925,S,3
384,1,1,female,35,1,0,52,S,3
386,0,2,male,18,0,0,73.5,S,2
387,0,3,male,1,5,2,46.9,S,1
388,1,2,female,36,0,0,13,S,3
390,1,2,female,17,0,0,12,C,2
391,1,1,male,36,1,2,120,S,3
392,1,3,male,21,0,0,7.7958,S,2
393,0,3,male,28,2,0,7.925,S,3
394,1,1,female,23,1,0,113.275,C,2
395,1,3,female,24,0,2,16.7,S,2
396,0,3,male,22,0,0,7.7958,S,2
397,0,3,female,31,0,0,7.8542,S,3
398,0,2,male,46,0,0,26,S,4
399,0,2,male,23,0,0,10.5,S,2
400,1,2,female,28,0,0,12.65,S,3
401,1,3,male,39,0,0,7.925,S,3
402,0,3,male,26,0,0,8.05,S,3
403,0,3,female,21,1,0,9.825,S,2
404,0,3,male,28,1,0,15.85,S,3
405,0,3,female,20,0,0,8.6625,S,2
406,0,2,male,34,1,0,21,S,3
407,0,3,male,51,0,0,7.75,S,4
408,1,2,male,3,1,1,18.75,S,1
409,0,3,male,21,0,0,7.775,S,2
413,1,1,female,33,1,0,90,Q,3
415,1,3,male,44,0,0,7.925,S,4
417,1,2,female,34,1,1,32.5,S,3
418,1,2,female,18,0,2,13,S,2
419,0,2,male,30,0,0,13,S,3
420,0,3,female,10,0,2,24.15,S,1
422,0,3,male,21,0,0,7.7333,Q,2
423,0,3,male,29,0,0,7.875,S,3
424,0,3,female,28,1,1,14.4,S,3
425,0,3,male,18,1,1,20.2125,S,2
427,1,2,female,28,1,0,26,S,3
428,1,2,female,19,0,0,26,S,2
430,1,3,male,32,0,0,8.05,S,3
431,1,1,male,28,0,0,26.55,S,3
433,1,2,female,42,1,0,26,S,4
434,0,3,male,17,0,0,7.125,S,2
435,0,1,male,50,1,0,55.9,S,4
436,1,1,female,14,1,2,120,S,1
437,0,3,female,21,2,2,34.375,S,2
438,1,2,female,24,2,3,18.75,S,2
439,0,1,male,64,1,4,263,S,4
440,0,2,male,31,0,0,10.5,S,3
441,1,2,female,45,1,1,26.25,S,4
442,0,3,male,20,0,0,9.5,S,2
443,0,3,male,25,1,0,7.775,S,2
444,1,2,female,28,0,0,13,S,3
446,1,1,male,4,0,2,81.8583,S,1
447,1,2,female,13,0,1,19.5,S,1
448,1,1,male,34,0,0,26.55,S,3
449,1,3,female,5,2,1,19.2583,C,1
450,1,1,male,52,0,0,30.5,S,4
451,0,2,male,36,1,2,27.75,S,3
453,0,1,male,30,0,0,27.75,C,3
454,1,1,male,49,1,0,89.1042,C,4
456,1,3,male,29,0,0,7.8958,C,3
457,0,1,male,65,0,0,26.55,S,4
459,1,2,female,50,0,0,10.5,S,4
461,1,1,male,48,0,0,26.55,S,4
462,0,3,male,34,0,0,8.05,S,3
463,0,1,male,47,0,0,38.5,S,4
464,0,2,male,48,0,0,13,S,4
466,0,3,male,38,0,0,7.05,S,3
468,0,1,male,56,0,0,26.55,S,4
470,1,3,female,0.75,2,1,19.2583,C,1
472,0,3,male,38,0,0,8.6625,S,3
473,1,2,female,33,1,2,27.75,S,3
474,1,2,female,23,0,0,13.7917,C,2
475,0,3,female,22,0,0,9.8375,S,2
477,0,2,male,34,1,0,21,S,3
478,0,3,male,29,1,0,7.0458,S,3
479,0,3,male,22,0,0,7.5208,S,2
480,1,3,female,2,0,1,12.2875,S,1
481,0,3,male,9,5,2,46.9,S,1
483,0,3,male,50,0,0,8.05,S,4
484,1,3,female,63,0,0,9.5875,S,4
485,1,1,male,25,1,0,91.0792,C,2
487,1,1,female,35,1,0,90,S,3
488,0,1,male,58,0,0,29.7,C,4
489,0,3,male,30,0,0,8.05,S,3
490,1,3,male,9,1,1,15.9,S,1
492,0,3,male,21,0,0,7.25,S,2
493,0,1,male,55,0,0,30.5,S,4
494,0,1,male,71,0,0,49.5042,C,4
495,0,3,male,21,0,0,8.05,S,2
497,1,1,female,54,1,0,78.2667,C,4
499,0,1,female,25,1,2,151.55,S,2
500,0,3,male,24,0,0,7.7958,S,2
501,0,3,male,17,0,0,8.6625,S,2
502,0,3,female,21,0,0,7.75,Q,2
504,0,3,female,37,0,0,9.5875,S,3
505,1,1,female,16,0,0,86.5,S,2
506,0,1,male,18,1,0,108.9,C,2
507,1,2,female,33,0,2,26,S,3
509,0,3,male,28,0,0,22.525,S,3
510,1,3,male,26,0,0,56.4958,S,3
511,1,3,male,29,0,0,7.75,Q,3
513,1,1,male,36,0,0,26.2875,S,3
514,1,1,female,54,1,0,59.4,C,4
515,0,3,male,24,0,0,7.4958,S,2
516,0,1,male,47,0,0,34.0208,S,4
517,1,2,female,34,0,0,10.5,S,3
519,1,2,female,36,1,0,26,S,3
520,0,3,male,32,0,0,7.8958,S,3
521,1,1,female,30,0,0,93.5,S,3
522,0,3,male,22,0,0,7.8958,S,2
524,1,1,female,44,0,1,57.9792,C,4
526,0,3,male,40.5,0,0,7.75,Q,4
527,1,2,female,50,0,0,10.5,S,4
529,0,3,male,39,0,0,7.925,S,3
530,0,2,male,23,2,1,11.5,S,2
531,1,2,female,2,1,1,26,S,1
533,0,3,male,17,1,1,7.2292,C,2
535,0,3,female,30,0,0,8.6625,S,3
536,1,2,female,7,0,2,26.25,S,1
537,0,1,male,45,0,0,26.55,S,4
538,1,1,female,30,0,0,106.425,C,3
540,1,1,female,22,0,2,49.5,C,2
541,1,1,female,36,0,2,71,S,3
542,0,3,female,9,4,2,31.275,S,1
543,0,3,female,11,4,2,31.275,S,1
544,1,2,male,32,1,0,26,S,3
545,0,1,male,50,1,0,106.425,C,4
546,0,1,male,64,0,0,26,S,4
547,1,2,female,19,1,0,26,S,2
549,0,3,male,33,1,1,20.525,S,3
550,1,2,male,8,1,1,36.75,S,1
551,1,1,male,17,0,2,110.8833,C,2
552,0,2,male,27,0,0,26,S,3
554,1,3,male,22,0,0,7.225,C,2
555,1,3,female,22,0,0,7.775,S,2
556,0,1,male,62,0,0,26.55,S,4
557,1,1,female,48,1,0,39.6,C,4
559,1,1,female,39,1,1,79.65,S,3
560,1,3,female,36,1,0,17.4,S,3
562,0,3,male,40,0,0,7.8958,S,3
563,0,2,male,28,0,0,13.5,S,3
566,0,3,male,24,2,0,24.15,S,2
567,0,3,male,19,0,0,7.8958,S,2
568,0,3,female,29,0,4,21.075,S,3
570,1,3,male,32,0,0,7.8542,S,3
571,1,2,male,62,0,0,10.5,S,4
572,1,1,female,53,2,0,51.4792,S,4
573,1,1,male,36,0,0,26.3875,S,3
575,0,3,male,16,0,0,8.05,S,2
576,0,3,male,19,0,0,14.5,S,2
577,1,2,female,34,0,0,13,S,3
578,1,1,female,39,1,0,55.9,S,3
580,1,3,male,32,0,0,7.925,S,3
581,1,2,female,25,1,1,30,S,2
582,1,1,female,39,1,1,110.8833,C,3
583,0,2,male,54,0,0,26,S,4
584,0,1,male,36,0,0,40.125,C,3
586,1,1,female,18,0,2,79.65,S,2
587,0,2,male,47,0,0,15,S,4
588,1,1,male,60,1,1,79.2,C,4
589,0,3,male,22,0,0,8.05,S,2
591,0,3,male,35,0,0,7.125,S,3
592,1,1,female,52,1,0,78.2667,C,4
593,0,3,male,47,0,0,7.25,S,4
595,0,2,male,37,1,0,26,S,3
596,0,3,male,36,1,1,24.15,S,3
598,0,3,male,49,0,0,0,S,4
600,1,1,male,49,1,0,56.9292,C,4
601,1,2,female,24,2,1,27,S,2
604,0,3,male,44,0,0,8.05,S,4
605,1,1,male,35,0,0,26.55,C,3
606,0,3,male,36,1,0,15.55,S,3
607,0,3,male,30,0,0,7.8958,S,3
608,1,1,male,27,0,0,30.5,S,3
609,1,2,female,22,1,2,41.5792,C,2
610,1,1,female,40,0,0,153.4625,S,3
611,0,3,female,39,1,5,31.275,S,3
615,0,3,male,35,0,0,8.05,S,3
616,1,2,female,24,1,2,65,S,2
617,0,3,male,34,1,1,14.4,S,3
618,0,3,female,26,1,0,16.1,S,3
619,1,2,female,4,2,1,39,S,1
620,0,2,male,26,0,0,10.5,S,3
621,0,3,male,27,1,0,14.4542,C,3
622,1,1,male,42,1,0,52.5542,S,4
623,1,3,male,20,1,1,15.7417,C,2
624,0,3,male,21,0,0,7.8542,S,2
625,0,3,male,21,0,0,16.1,S,2
626,0,1,male,61,0,0,32.3208,S,4
627,0,2,male,57,0,0,12.35,Q,4
628,1,1,female,21,0,0,77.9583,S,2
629,0,3,male,26,0,0,7.8958,S,3
631,1,1,male,80,0,0,30,S,4
632,0,3,male,51,0,0,7.0542,S,4
633,1,1,male,32,0,0,30.5,C,3
635,0,3,female,9,3,2,27.9,S,1
636,1,2,female,28,0,0,13,S,3
637,0,3,male,32,0,0,7.925,S,3
638,0,2,male,31,1,1,26.25,S,3
639,0,3,female,41,0,5,39.6875,S,4
641,0,3,male,20,0,0,7.8542,S,2
642,1,1,female,24,0,0,69.3,C,2
643,0,3,female,2,3,2,27.9,S,1
645,1,3,female,0.75,2,1,19.2583,C,1
646,1,1,male,48,1,0,76.7292,C,4
647,0,3,male,19,0,0,7.8958,S,2
648,1,1,male,56,0,0,35.5,C,4
650,1,3,female,23,0,0,7.55,S,2
652,1,2,female,18,0,1,23,S,2
653,0,3,male,21,0,0,8.4333,S,2
655,0,3,female,18,0,0,6.75,Q,2
656,0,2,male,24,2,0,73.5,S,2
658,0,3,female,32,1,1,15.5,Q,3
659,0,2,male,23,0,0,13,S,2
660,0,1,male,58,0,2,113.275,C,4
661,1,1,male,50,2,0,133.65,S,4
662,0,3,male,40,0,0,7.225,C,3
663,0,1,male,47,0,0,25.5875,S,4
664,0,3,male,36,0,0,7.4958,S,3
665,1,3,male,20,1,0,7.925,S,2
666,0,2,male,32,2,0,73.5,S,3
667,0,2,male,25,0,0,13,S,2
669,0,3,male,43,0,0,8.05,S,4
671,1,2,female,40,1,1,39,S,3
672,0,1,male,31,1,0,52,S,3
673,0,2,male,70,0,0,10.5,S,4
674,1,2,male,31,0,0,13,S,3
676,0,3,male,18,0,0,7.775,S,2
677,0,3,male,24.5,0,0,8.05,S,2
678,1,3,female,18,0,0,9.8417,S,2
679,0,3,female,43,1,6,46.9,S,4
680,1,1,male,36,0,1,512.3292,C,3
682,1,1,male,27,0,0,76.7292,C,3
683,0,3,male,20,0,0,9.225,S,2
684,0,3,male,14,5,2,46.9,S,1
685,0,2,male,60,1,1,39,S,4
686,0,2,male,25,1,2,41.5792,C,2
687,0,3,male,14,4,1,39.6875,S,1
688,0,3,male,19,0,0,10.1708,S,2
689,0,3,male,18,0,0,7.7958,S,2
690,1,1,female,15,0,1,211.3375,S,1
691,1,1,male,31,1,0,57,S,3
692,1,3,female,4,0,1,13.4167,C,1
694,0,3,male,25,0,0,7.225,C,2
695,0,1,male,60,0,0,26.55,S,4
696,0,2,male,52,0,0,13.5,S,4
697,0,3,male,44,0,0,8.05,S,4
699,0,1,male,49,1,1,110.8833,C,4
700,0,3,male,42,0,0,7.65,S,4
701,1,1,female,18,1,0,227.525,C,2
702,1,1,male,35,0,0,26.2875,S,3
703,0,3,female,18,0,1,14.4542,C,2
704,0,3,male,25,0,0,7.7417,Q,2
705,0,3,male,26,1,0,7.8542,S,3
706,0,2,male,39,0,0,26,S,3
707,1,2,female,45,0,0,13.5,S,4
708,1,1,male,42,0,0,26.2875,S,4
709,1,1,female,22,0,0,151.55,S,2
711,1,1,female,24,0,0,49.5042,C,2
713,1,1,male,48,1,0,52,S,4
714,0,3,male,29,0,0,9.4833,S,3
715,0,2,male,52,0,0,13,S,4
716,0,3,male,19,0,0,7.65,S,2
717,1,1,female,38,0,0,227.525,C,3
718,1,2,female,27,0,0,10.5,S,3
720,0,3,male,33,0,0,7.775,S,3
721,1,2,female,6,0,1,33,S,1
722,0,3,male,17,1,0,7.0542,S,2
723,0,2,male,34,0,0,13,S,3
724,0,2,male,50,0,0,13,S,4
725,1,1,male,27,1,0,53.1,S,3
726,0,3,male,20,0,0,8.6625,S,2
727,1,2,female,30,3,0,21,S,3
729,0,2,male,25,1,0,26,S,2
730,0,3,female,25,1,0,7.925,S,2
731,1,1,female,29,0,0,211.3375,S,3
732,0,3,male,11,0,0,18.7875,C,1
734,0,2,male,23,0,0,13,S,2
735,0,2,male,23,0,0,13,S,2
736,0,3,male,28.5,0,0,16.1,S,3
737,0,3,female,48,1,3,34.375,S,4
738,1,1,male,35,0,0,512.3292,C,3
742,0,1,male,36,1,0,78.85,S,3
743,1,1,female,21,2,2,262.375,C,2
744,0,3,male,24,1,0,16.1,S,2
745,1,3,male,31,0,0,7.925,S,3
746,0,1,male,70,1,1,71,S,4
747,0,3,male,16,1,1,20.25,S,2
748,1,2,female,30,0,0,13,S,3
749,0,1,male,19,1,0,53.1,S,2
750,0,3,male,31,0,0,7.75,Q,3
751,1,2,female,4,1,1,23,S,1
752,1,3,male,6,0,1,12.475,S,1
753,0,3,male,33,0,0,9.5,S,3
754,0,3,male,23,0,0,7.8958,S,2
755,1,2,female,48,1,2,65,S,4
756,1,2,male,0.67,1,1,14.5,S,1
757,0,3,male,28,0,0,7.7958,S,3
758,0,2,male,18,0,0,11.5,S,2
759,0,3,male,34,0,0,8.05,S,3
760,1,1,female,33,0,0,86.5,S,3
762,0,3,male,41,0,0,7.125,S,4
763,1,3,male,20,0,0,7.2292,C,2
764,1,1,female,36,1,2,120,S,3
765,0,3,male,16,0,0,7.775,S,2
766,1,1,female,51,1,0,77.9583,S,4
768,0,3,female,30.5,0,0,7.75,Q,3
770,0,3,male,32,0,0,8.3625,S,3
771,0,3,male,24,0,0,9.5,S,2
772,0,3,male,48,0,0,7.8542,S,4
773,0,2,female,57,0,0,10.5,S,4
775,1,2,female,54,1,3,23,S,4
776,0,3,male,18,0,0,7.75,S,2
778,1,3,female,5,0,0,12.475,S,1
780,1,1,female,43,0,1,211.3375,S,4
781,1,3,female,13,0,0,7.2292,C,1
782,1,1,female,17,1,0,57,S,2
783,0,1,male,29,0,0,30,S,3
785,0,3,male,25,0,0,7.05,S,2
786,0,3,male,25,0,0,7.25,S,2
787,1,3,female,18,0,0,7.4958,S,2
788,0,3,male,8,4,1,29.125,Q,1
789,1,3,male,1,1,2,20.575,S,1
790,0,1,male,46,0,0,79.2,C,4
792,0,2,male,16,0,0,26,S,2
795,0,3,male,25,0,0,7.8958,S,2
